class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.joda.time.Minutes,false,false,false,false,false,false,false,false
org.joda.time.Months,true,false,false,false,false,false,false,false
org.joda.time.DateTimeComparator,false,false,false,false,false,false,false,false
org.joda.time.base.AbstractPartial,false,false,false,false,false,false,false,false
org.joda.time.DurationField,false,false,false,false,false,false,false,false
org.joda.time.base.BaseSingleFieldPeriod,false,false,true,false,false,false,true,false
org.joda.time.PeriodType,false,false,true,false,true,false,false,false
org.joda.time.Years,false,false,false,false,false,false,false,false
org.joda.time.DateTimeUtils,false,false,false,false,true,false,false,false
org.joda.time.Days,false,false,false,false,false,false,false,false
org.joda.time.DateTimeFieldType,false,false,false,false,true,false,false,false
org.joda.time.DateTimeZone,false,false,true,false,true,false,true,true
org.joda.time.base.BasePartial,false,false,false,false,false,false,false,false
org.joda.time.Seconds,false,false,false,false,false,false,false,false
org.joda.time.IllegalFieldValueException,false,false,false,false,false,false,false,false
org.joda.time.Weeks,false,false,false,false,false,false,false,false
org.joda.time.Hours,true,false,false,false,false,false,false,false
org.joda.time.DurationFieldType,false,false,false,false,false,false,false,false
org.joda.time.tz.CachedDateTimeZone,false,false,false,false,false,false,false,false
org.joda.time.tz.ZoneInfoCompiler,false,false,true,false,true,true,true,false
org.joda.time.tz.UTCProvider,false,false,false,false,false,false,false,false
org.joda.time.tz.FixedDateTimeZone,false,false,false,false,false,false,false,false
org.joda.time.chrono.CopticChronology,false,false,false,false,false,false,false,false
org.joda.time.chrono.BuddhistChronology,false,false,false,false,false,false,true,false
org.joda.time.chrono.IslamicChronology,false,false,false,false,true,false,false,false
org.joda.time.chrono.JulianChronology,false,false,false,false,false,false,false,false
org.joda.time.chrono.GJChronology,false,false,true,false,true,false,true,true
org.joda.time.chrono.ISOChronology,false,false,false,false,false,false,false,false
org.joda.time.chrono.LenientChronology,false,false,false,false,false,false,false,false
org.joda.time.chrono.GregorianChronology,false,false,false,false,false,false,false,false
org.joda.time.chrono.EthiopicChronology,false,false,false,false,false,false,false,false
org.joda.time.chrono.JulianChronology,false,false,false,false,false,false,false,false
org.joda.time.chrono.GJChronology,false,false,true,false,true,false,true,true
org.joda.time.chrono.GregorianChronology,false,false,false,false,false,false,false,false
org.joda.time.field.OffsetDateTimeField,false,false,false,false,false,false,false,false
org.joda.time.field.PreciseDurationField,false,false,false,false,false,false,false,false
org.joda.time.field.BaseDateTimeField,false,false,false,false,true,false,false,true
org.joda.time.field.FieldUtils,false,false,false,false,false,false,false,false
org.joda.time.field.PreciseDurationDateTimeField,false,false,false,false,false,false,false,false
org.joda.time.field.PreciseDateTimeField,false,false,false,false,false,false,false,false
org.joda.time.field.MillisDurationField,false,false,false,false,false,false,false,false
org.joda.time.field.UnsupportedDateTimeField,false,false,false,false,true,false,false,false
org.joda.time.field.ScaledDurationField,false,false,false,false,false,false,false,false
org.joda.time.format.DateTimeFormat,false,false,true,false,true,true,false,false
org.joda.time.format.PeriodFormat,false,false,true,false,false,false,false,false
org.joda.time.format.ISOPeriodFormat,false,false,true,false,false,false,false,false
org.joda.time.format.PeriodFormatter,false,false,false,false,false,false,false,false
org.joda.time.format.PeriodFormatterBuilder,false,false,false,false,true,false,true,true
org.joda.time.format.DateTimeFormatterBuilder,false,false,false,false,true,false,true,true
org.joda.time.format.DateTimeFormatter,false,false,true,false,true,false,true,true
org.joda.time.format.DateTimeParserBucket,false,false,true,false,true,false,true,false
org.joda.time.format.ISODateTimeFormat,false,false,true,false,true,false,false,true
org.joda.time.convert.ReadablePartialConverter,false,false,false,false,false,false,false,false
org.joda.time.convert.CalendarConverter,false,false,false,false,false,false,false,false
org.joda.time.convert.ReadableInstantConverter,false,false,false,false,false,false,false,false
org.joda.time.convert.NullConverter,false,false,false,false,false,false,false,false
org.joda.time.convert.ReadableDurationConverter,false,false,false,false,false,false,false,false
org.joda.time.convert.StringConverter,false,false,true,false,false,false,true,false
org.joda.time.convert.ReadablePeriodConverter,false,false,false,false,false,false,false,false
org.joda.time.convert.ConverterSet,false,false,false,false,false,false,false,false
org.joda.time.convert.DateConverter,false,false,false,false,false,false,false,false
org.joda.time.convert.ReadableIntervalConverter,false,false,false,false,false,false,false,false
org.joda.time.convert.ConverterManager,false,false,false,false,true,false,false,false
org.joda.time.convert.LongConverter,false,false,false,false,false,false,false,false
